,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,SCALED_SCORE
1,1,1,1,0,112500.0,4,4,1,1,-21474,-1134,1,0,0,0,16,2.0,5.5
2,0,0,1,0,270000.0,0,4,3,1,-19110,-3051,1,0,1,1,14,1.0,5.0
4,1,1,1,0,270000.0,4,1,1,1,-16872,-769,1,1,1,1,0,2.0,5.0
5,0,1,0,0,130500.0,4,2,1,1,-10669,-1103,1,0,0,0,0,2.0,4.961538461538462
6,0,0,1,0,157500.0,4,4,1,1,-10031,-1469,1,0,1,0,8,2.0,5.451612903225806
7,0,0,1,1,112500.0,4,4,3,1,-10968,-1620,1,0,0,0,17,2.0,5.888888888888889
10,1,1,1,0,112500.0,0,4,1,1,-20502,-4450,1,0,1,0,4,2.0,5.212121212121212
11,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,5.0
12,0,0,1,1,211500.0,2,4,0,1,-16212,-7099,1,0,0,0,3,3.0,5.0
13,1,1,1,0,360000.0,0,4,1,1,-16670,-5364,1,0,1,0,16,2.0,4.888888888888889
14,0,0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,10,4.0,5.727272727272728
16,0,0,1,0,247500.0,0,1,2,4,-17016,-1347,1,0,0,0,3,1.0,5.0
17,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,5.875
18,0,0,0,0,157500.0,0,1,1,1,-13642,-4846,1,0,1,0,6,2.0,4.8
19,1,0,1,1,225000.0,4,4,1,1,-10321,-2808,1,0,0,0,17,3.0,5.869565217391305
20,0,1,1,0,135000.0,4,4,1,1,-17785,-1712,1,0,0,0,8,2.0,5.0
21,1,0,1,0,157500.0,4,4,1,1,-16027,-889,1,0,1,0,17,2.0,4.933333333333334
23,0,1,1,0,270000.0,4,4,2,1,-16582,-1194,1,1,1,0,1,1.0,5.0
24,1,1,1,0,157500.0,4,4,1,1,-9927,-828,1,0,0,0,4,2.0,5.608695652173913
25,1,0,1,0,166500.0,4,4,1,1,-18926,-6276,1,1,1,0,8,2.0,5.0
26,0,0,1,2,216000.0,2,1,1,1,-15444,-3112,1,0,0,1,17,4.0,5.76
27,0,1,1,0,270000.0,0,4,1,1,-19861,-10843,1,0,0,1,8,2.0,5.0
28,0,1,1,0,225000.0,0,4,1,1,-14450,-2777,1,0,0,0,8,2.0,4.9
29,0,0,1,0,315000.0,4,4,3,1,-10554,-1194,1,0,0,0,0,1.0,5.5
31,0,0,1,2,157500.0,4,4,3,1,-14326,-555,1,0,0,0,3,3.0,5.857142857142857
32,0,0,1,0,148500.0,4,1,1,1,-17641,-889,1,0,0,0,3,2.0,5.0
33,0,0,1,2,202500.0,4,1,1,1,-10997,-2289,1,0,0,1,3,4.0,5.571428571428571
34,1,0,1,0,202500.0,4,4,3,1,-8861,-889,1,1,0,0,4,1.0,5.0
36,1,1,1,0,315000.0,4,4,0,1,-10450,-2077,1,0,0,0,14,2.0,5.842105263157895
37,0,1,1,0,270000.0,0,2,0,2,-10264,-3173,1,0,1,1,6,2.0,5.5625
39,1,0,1,1,180000.0,4,4,1,5,-14122,-1286,1,0,0,0,4,3.0,5.806451612903226
40,0,0,1,0,112500.0,4,1,0,1,-10064,-3173,1,0,0,1,8,2.0,5.818181818181818
41,1,0,1,0,90000.0,4,4,1,1,-20531,-5730,1,0,0,0,4,2.0,6.0
42,1,1,0,2,202500.0,0,1,1,1,-14730,-2989,1,0,0,0,8,4.0,5.0
43,1,1,1,0,247500.0,4,4,1,1,-12628,-4025,1,0,0,0,4,2.0,5.0
45,0,0,1,1,270000.0,0,4,1,1,-13679,-4391,1,0,0,1,0,3.0,5.833333333333333
46,0,0,1,0,315000.0,4,1,2,1,-13271,-555,1,0,0,0,10,1.0,5.0
47,1,1,1,2,157500.0,4,4,1,5,-12859,-4056,1,0,1,0,4,4.0,5.8108108108108105
48,1,0,1,0,360000.0,0,4,1,1,-15321,-2747,1,0,0,0,16,2.0,5.0
49,0,0,1,0,112500.0,0,1,1,1,-8842,-312,1,0,0,1,6,2.0,4.75
50,0,0,0,0,157500.0,0,1,2,5,-15737,-432,1,0,0,0,17,1.0,5.6923076923076925
52,0,0,0,0,135000.0,4,4,0,1,-9657,-1560,1,1,1,0,10,2.0,5.764705882352941
54,1,1,0,0,315000.0,4,1,1,1,-15825,-3720,1,1,1,0,10,2.0,5.888888888888889
55,0,0,0,0,180000.0,4,4,1,1,-19575,-2901,1,0,0,0,14,2.0,5.862068965517241
56,0,0,0,0,157500.0,4,4,1,1,-12915,-3174,1,0,1,0,14,2.0,5.0
58,1,1,0,0,229500.0,4,2,1,0,-18325,-1256,1,0,0,0,8,2.0,5.23404255319149
59,0,0,0,0,270000.0,4,1,1,1,-17573,-5792,1,1,1,0,10,2.0,4.75
60,0,0,0,0,292500.0,2,4,1,1,-20953,-8684,1,1,1,0,0,2.0,5.0
61,0,1,0,0,225000.0,4,4,1,1,-14667,-798,1,1,0,0,10,2.0,5.75
62,1,1,0,0,157500.0,4,2,1,5,-10611,-982,1,0,1,0,4,2.0,5.75
63,0,0,0,0,74250.0,4,1,2,2,-19082,-5243,1,0,1,0,3,1.0,5.823529411764706
64,1,1,0,1,135000.0,4,4,1,1,-9957,-921,1,1,0,0,4,3.0,5.851851851851852
65,0,0,0,0,144000.0,4,4,3,1,-15970,-8987,1,0,0,0,1,1.0,5.0
66,0,0,0,0,202500.0,2,1,1,5,-14562,-1287,1,0,1,0,3,2.0,5.8
68,1,1,0,0,337500.0,2,1,1,5,-10266,-1652,1,1,1,0,10,2.0,5.722222222222222
69,1,0,0,0,180000.0,0,4,1,2,-14781,-2443,1,0,1,0,8,2.0,5.0
70,0,0,0,0,130500.0,4,4,0,1,-15140,-4816,1,0,1,0,1,2.0,5.8
72,0,0,0,0,193500.0,4,4,3,2,-16099,-1866,1,0,1,0,8,1.0,4.9375
75,1,1,0,0,267750.0,4,1,1,1,-20991,-4727,1,0,1,0,8,2.0,5.0
76,0,0,0,0,139500.0,4,1,2,1,-16203,-7100,1,0,0,0,10,1.0,5.0
77,1,0,0,0,67500.0,4,4,1,1,-18674,-5304,1,1,1,0,16,2.0,5.0
78,1,1,0,0,252000.0,4,4,1,1,-10750,-2443,1,0,0,0,6,2.0,5.485714285714286
79,1,0,0,0,180000.0,0,3,1,1,-21155,-130,1,0,1,0,4,2.0,5.0
80,0,0,0,0,135000.0,0,4,1,1,-19692,-5273,1,1,1,0,8,2.0,5.0
82,1,1,0,0,180000.0,0,1,0,1,-14867,-586,1,1,0,0,4,2.0,5.809523809523809
84,0,0,0,2,225000.0,4,1,1,1,-11281,-1744,1,1,0,1,3,4.0,5.85
85,1,1,0,1,135000.0,4,4,1,1,-9430,-1195,1,1,0,0,14,3.0,5.0
87,1,0,0,0,279000.0,2,1,3,1,-11042,-3174,1,0,0,0,3,1.0,5.352941176470588
88,0,0,0,1,76500.0,4,1,0,1,-12506,-495,1,1,0,0,0,3.0,5.928571428571429
89,1,0,0,0,202500.0,0,4,1,1,-20604,-252,1,1,1,0,16,2.0,5.0
90,0,0,0,2,67500.0,0,1,1,1,-10331,-433,1,0,1,0,3,4.0,5.0
91,0,0,0,0,90000.0,4,4,3,1,-19304,-464,1,1,1,0,3,1.0,4.625
92,0,0,0,0,81000.0,4,4,0,1,-19569,-1013,1,0,0,0,16,2.0,5.0
93,1,0,0,0,108000.0,4,4,3,0,-8182,-1317,1,1,0,0,2,1.0,5.703703703703703
95,1,0,0,0,198000.0,4,4,3,5,-8657,-1164,1,1,0,0,8,1.0,5.0
96,1,1,0,0,360000.0,2,1,1,2,-14835,-1195,1,1,1,0,4,2.0,5.571428571428571
99,0,0,0,0,90000.0,2,4,1,1,-9489,-1682,1,0,1,0,17,2.0,5.285714285714286
100,0,1,0,0,270000.0,0,2,0,1,-13855,-739,1,1,0,0,17,2.0,4.9375
101,1,1,0,0,81000.0,4,4,1,5,-14435,-3386,1,1,0,0,4,2.0,5.0
102,0,0,0,0,202500.0,2,1,1,1,-17274,-1348,1,0,1,0,8,2.0,5.739130434782608
103,0,0,0,0,157500.0,4,4,1,1,-19702,-9870,1,1,1,0,17,2.0,5.0
104,0,0,0,0,180000.0,0,1,1,1,-13241,-4451,1,0,1,0,17,2.0,5.0
105,0,0,0,0,135000.0,4,4,1,2,-12130,-798,1,0,0,0,2,2.0,5.888888888888889
106,0,0,0,2,135000.0,4,4,1,1,-9736,-2870,1,0,0,0,17,4.0,6.0
107,1,1,0,0,135000.0,0,4,1,1,-16196,-6218,1,1,1,0,8,2.0,5.0
108,1,1,0,0,270000.0,0,4,1,1,-11706,-1164,1,1,0,1,4,2.0,5.808510638297872
109,0,0,0,0,202500.0,4,1,1,1,-16100,-4939,1,0,1,0,3,2.0,5.0
110,0,0,0,0,157500.0,4,2,1,1,-16888,-2687,1,0,0,0,3,2.0,5.652173913043479
111,1,1,0,2,180000.0,4,2,1,1,-12463,-2170,1,1,0,0,8,4.0,5.0
112,1,1,0,1,112500.0,4,4,2,0,-11998,-1135,1,1,0,0,8,2.0,5.0
113,1,1,0,0,216000.0,4,4,1,1,-15455,-890,1,1,0,0,8,2.0,5.75
114,0,1,0,0,202500.0,0,4,1,1,-15527,-1744,1,1,1,0,14,2.0,5.803571428571429
115,0,0,0,0,198000.0,0,4,0,1,-18813,-9748,1,0,0,0,8,2.0,5.727272727272728
117,0,1,0,0,315000.0,4,4,1,1,-17074,-798,1,0,0,0,0,2.0,5.565217391304348
119,0,0,0,0,90000.0,4,4,2,1,-11682,-678,1,0,0,0,14,1.0,4.8
120,0,0,0,0,45000.0,4,4,2,1,-14374,-798,1,0,1,0,14,1.0,5.354838709677419
121,0,1,0,0,225000.0,4,4,1,1,-8488,-1835,1,0,1,0,17,2.0,5.0
123,0,1,0,0,144000.0,4,4,1,1,-17383,-890,1,1,1,0,3,2.0,5.142857142857143
124,0,1,0,0,315000.0,0,1,1,1,-13455,-2748,1,1,1,0,14,2.0,6.0
125,0,0,0,1,112500.0,4,4,1,1,-12872,-3720,1,1,0,0,14,3.0,5.0
126,0,0,0,2,144000.0,4,4,1,1,-12277,-982,1,1,1,0,6,4.0,5.333333333333333
128,1,1,0,0,135000.0,4,4,1,1,-19056,-99,1,1,0,0,4,2.0,6.0
129,0,0,0,0,238500.0,4,4,1,1,-19305,-3296,1,1,0,0,8,2.0,5.923076923076923
130,0,0,0,0,112500.0,4,4,1,1,-9890,-2047,1,0,1,0,8,2.0,5.739130434782608
131,1,1,0,1,144000.0,4,2,1,1,-10049,-283,1,1,0,0,4,3.0,5.0
133,1,0,0,0,202500.0,0,4,3,5,-8489,-921,1,1,0,0,17,1.0,5.0
134,0,0,0,0,135000.0,2,4,1,1,-18650,-10936,1,0,1,0,17,2.0,5.875
135,1,0,0,0,225000.0,4,1,3,1,-10166,-1774,1,1,0,0,17,1.0,5.829268292682927
137,0,0,0,0,135000.0,0,4,0,1,-15805,-433,1,1,0,0,3,2.0,5.0
142,0,0,0,0,157500.0,4,1,1,1,-11644,-344,1,0,0,0,10,2.0,5.0
143,0,1,0,0,135000.0,4,4,0,5,-11102,-433,1,1,1,0,14,2.0,5.0
144,1,0,0,0,180000.0,4,4,3,1,-9380,-1713,1,1,1,0,17,1.0,4.96
145,0,0,0,0,225000.0,4,4,3,1,-19316,-4451,1,1,1,0,17,1.0,5.0
146,0,0,0,0,135000.0,4,1,1,1,-9887,-2474,1,0,1,0,14,2.0,5.833333333333333
147,0,1,0,0,270000.0,0,1,1,1,-19341,-7314,1,1,1,0,10,2.0,6.0
148,0,1,0,0,99000.0,4,4,1,1,-14657,-4392,1,1,1,0,3,2.0,5.0
149,0,0,0,0,135000.0,4,4,1,1,-12328,-2474,1,1,1,0,14,2.0,5.2
150,0,1,0,0,315000.0,0,1,1,1,-13557,-586,1,1,1,0,17,2.0,5.470588235294118
151,1,1,0,0,270000.0,4,1,3,1,-9087,-1682,1,0,0,0,8,1.0,5.6923076923076925
152,1,0,0,0,135000.0,4,4,2,1,-14118,-3174,1,0,0,0,8,1.0,5.411764705882353
155,0,1,0,0,382500.0,4,1,1,1,-15435,-3965,1,1,1,0,17,2.0,5.869565217391305
156,0,0,0,1,202500.0,4,4,1,1,-11813,-3266,1,1,1,0,14,3.0,5.0
157,0,1,0,0,99000.0,4,4,1,1,-14883,-5457,1,0,1,0,2,2.0,5.555555555555555
158,0,0,0,0,112500.0,4,4,1,1,-15759,-374,1,1,0,0,14,2.0,5.230769230769231
159,1,1,0,0,166500.0,4,1,1,5,-10435,-1713,1,1,0,0,3,2.0,5.684210526315789
160,0,0,0,0,135000.0,2,4,0,1,-13120,-5578,1,0,0,0,11,2.0,5.666666666666667
161,1,1,0,0,202500.0,4,4,0,1,-12636,-405,1,0,0,0,8,2.0,5.9393939393939394
162,0,0,0,0,81000.0,0,4,2,1,-17932,-1470,1,0,0,0,14,1.0,5.478260869565218
163,1,0,0,0,225000.0,0,1,0,1,-12282,-405,1,0,1,0,10,2.0,5.96875
164,0,0,0,0,99000.0,0,1,1,1,-10084,-678,1,0,0,0,14,2.0,5.8125
165,1,1,0,0,360000.0,0,4,2,5,-10276,-556,1,1,1,0,4,1.0,5.0
166,1,1,0,0,225000.0,4,1,0,4,-14555,-1226,1,1,0,0,10,2.0,5.32258064516129
168,0,0,1,2,144000.0,4,4,1,2,-9839,-1835,1,1,0,0,8,4.0,5.0
170,1,1,1,0,270000.0,4,4,3,1,-13172,-1195,1,0,0,1,10,1.0,5.666666666666667
171,0,1,0,1,157500.0,4,1,1,1,-11992,-2351,1,0,0,0,12,3.0,5.0
172,0,1,1,2,90000.0,2,1,1,1,-11131,-405,1,0,0,0,3,4.0,4.857142857142857
173,1,1,0,0,202500.0,4,4,1,1,-19120,-3661,1,0,0,0,4,2.0,5.8979591836734695
174,0,0,1,2,99000.0,0,1,1,1,-12752,-433,1,0,1,0,0,4.0,4.9
175,1,1,1,0,360000.0,4,1,1,1,-19958,-7465,1,0,0,0,8,2.0,5.0
176,0,0,1,2,157500.0,4,4,1,1,-10710,-2351,1,0,0,0,14,4.0,5.0
177,0,0,1,0,135000.0,4,2,3,1,-8482,-1501,1,1,0,1,17,1.0,4.923076923076923
179,0,1,1,2,90000.0,2,4,1,1,-12690,-4451,1,0,0,0,2,4.0,5.903225806451613
181,1,1,1,0,112500.0,4,4,1,1,-16076,-7679,1,0,0,0,17,2.0,5.878787878787879
182,0,1,1,1,135000.0,4,4,1,1,-16613,-3235,1,0,0,0,17,3.0,5.888888888888889
183,0,1,1,0,180000.0,2,4,1,1,-20644,-3873,1,0,0,0,11,2.0,5.0
185,0,0,1,0,135000.0,4,2,1,1,-16839,-3692,1,0,0,0,10,2.0,5.0
186,1,1,1,1,360000.0,0,4,1,1,-13940,-617,1,0,0,0,10,3.0,5.0
187,0,1,0,1,157500.0,4,4,1,1,-12330,-2809,1,0,1,1,0,3.0,5.8474576271186445
188,0,0,1,2,157500.0,2,4,1,1,-12242,-2047,1,0,0,0,3,4.0,5.586206896551724
190,0,0,1,1,112500.0,2,2,0,1,-10926,-3570,1,0,1,0,15,3.0,5.0
191,0,1,1,1,112500.0,0,4,2,1,-12896,-709,1,0,0,0,17,2.0,5.0
192,0,0,0,0,99000.0,0,1,3,5,-10833,-2504,1,0,0,1,17,1.0,5.793103448275862
193,0,0,1,0,135000.0,4,4,1,1,-20782,-2321,1,0,0,0,8,2.0,4.875
196,0,0,1,0,67500.0,4,4,1,1,-21889,-8469,1,1,0,0,3,2.0,5.9375
197,0,0,1,0,90000.0,4,4,1,1,-18474,-3021,1,0,0,1,1,2.0,5.875
198,1,1,1,0,112500.0,4,4,3,1,-16975,-2504,1,0,1,1,8,1.0,5.6
199,0,0,1,0,112500.0,4,4,1,1,-16573,-4574,1,0,0,0,17,2.0,6.0
200,0,0,1,0,360000.0,4,4,4,1,-18388,-7830,1,0,0,0,3,1.0,4.95
