,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,CREDIT_USE_MONTH,NOT_USED_MONTH,SCALED_SCORE,WINDOW
0,5008804,1,1,1,0,427500.0,4,1,0,4,-12005,-4542,1,1,0,0,17,2.0,15.0,1.0,5.8,16
1,5008806,1,1,1,0,112500.0,4,4,1,1,-21474,-1134,1,0,0,0,16,2.0,14.0,16.0,5.5,30
2,5008808,0,0,1,0,270000.0,0,4,3,1,-19110,-3051,1,0,1,1,14,1.0,2.0,3.0,5.0,5
3,5008812,0,0,1,0,283500.0,1,1,2,1,-22464,365243,1,0,0,0,17,1.0,14.0,3.0,5.0,17
4,5008815,1,1,1,0,270000.0,4,1,1,1,-16872,-769,1,1,1,1,0,2.0,6.0,0.0,5.0,6
5,5008825,0,1,0,0,130500.0,4,2,1,1,-10669,-1103,1,0,0,0,0,2.0,26.0,0.0,4.961538461538462,26
6,5008830,0,0,1,0,157500.0,4,4,1,1,-10031,-1469,1,0,1,0,8,2.0,31.0,1.0,5.451612903225806,32
7,5008834,0,0,1,1,112500.0,4,4,3,1,-10968,-1620,1,0,0,0,17,2.0,45.0,0.0,5.888888888888889,45
8,5008836,1,1,1,3,270000.0,4,4,1,1,-12689,-1163,1,0,0,0,8,5.0,17.0,0.0,5.941176470588236,17
9,5008838,1,0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,10,3.0,29.0,2.0,5.0,31
10,5008844,1,1,1,0,112500.0,0,4,1,1,-20502,-4450,1,0,1,0,4,2.0,33.0,0.0,5.212121212121212,33
11,5008854,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,2.0,0.0,5.0,2
12,5008868,0,0,1,1,211500.0,2,4,0,1,-16212,-7099,1,0,0,0,3,3.0,25.0,0.0,5.0,25
13,5008872,1,1,1,0,360000.0,0,4,1,1,-16670,-5364,1,0,1,0,16,2.0,9.0,2.0,4.888888888888889,11
